YEAR,MONTH,Date,Pump_Price
1985,January,Jan/1985,0.20
1985,February,Feb/1985,0.20
1985,March,Mar/1985,0.20
1985,April,Apr/1985,0.20
1985,May,May/1985,0.20
1985,June,Jun/1985,0.20
1985,July,Jul/1985,0.20
1985,August,Aug/1985,0.20
1985,September,Sep/1985,0.20
1985,October,Oct/1985,0.20
1985,November,Nov/1985,0.20
1985,December,Dec/1985,0.20
1986,January,Jan/1986,0.40
1986,February,Feb/1986,0.40
1986,March,Mar/1986,0.40
1986,April,Apr/1986,0.40
1986,May,May/1986,0.40
1986,June,Jun/1986,0.40
1986,July,Jul/1986,0.40
1986,August,Aug/1986,0.40
1986,September,Sep/1986,0.40
1986,October,Oct/1986,0.40
1986,November,Nov/1986,0.40
1986,December,Dec/1986,0.40
1987,January,Jan/1987,0.40
1987,February,Feb/1987,0.40
1987,March,Mar/1987,0.40
1987,April,Apr/1987,0.40
1987,May,May/1987,0.40
1987,June,Jun/1987,0.40
1987,July,Jul/1987,0.40
1987,August,Aug/1987,0.40
1987,September,Sep/1987,0.40
1987,October,Oct/1987,0.40
1987,November,Nov/1987,0.40
1987,December,Dec/1987,0.40
1988,January,Jan/1988,0.40
1988,February,Feb/1988,0.40
1988,March,Mar/1988,0.40
1988,April,Apr/1988,0.42
1988,May,May/1988,0.42
1988,June,Jun/1988,0.42
1988,July,Jul/1988,0.42
1988,August,Aug/1988,0.42
1988,September,Sep/1988,0.42
1988,October,Oct/1988,0.42
1988,November,Nov/1988,0.42
1988,December,Dec/1988,0.42
1989,January,Jan/1989,0.60
1989,February,Feb/1989,0.60
1989,March,Mar/1989,0.60
1989,April,Apr/1989,0.60
1989,May,May/1989,0.60
1989,June,Jun/1989,0.60
1989,July,Jul/1989,0.60
1989,August,Aug/1989,0.60
1989,September,Sep/1989,0.60
1989,October,Oct/1989,0.60
1989,November,Nov/1989,0.60
1989,December,Dec/1989,0.60
1990,January,Jan/1990,0.60
1990,February,Feb/1990,0.60
1990,March,Mar/1990,0.60
1990,April,Apr/1990,0.60
1990,May,May/1990,0.60
1990,June,Jun/1990,0.60
1990,July,Jul/1990,0.60
1990,August,Aug/1990,0.60
1990,September,Sep/1990,0.60
1990,October,Oct/1990,0.60
1990,November,Nov/1990,0.60
1990,December,Dec/1990,0.60
1991,January,Jan/1991,0.70
1991,February,Feb/1991,0.70
1991,March,Mar/1991,0.70
1991,April,Apr/1991,0.70
1991,May,May/1991,0.70
1991,June,Jun/1991,0.70
1991,July,Jul/1991,0.70
1991,August,Aug/1991,0.70
1991,September,Sep/1991,0.70
1991,October,Oct/1991,0.70
1991,November,Nov/1991,0.70
1991,December,Dec/1991,0.70
1992,January,Jan/1992,0.70
1992,February,Feb/1992,0.70
1992,March,Mar/1992,0.70
1992,April,Apr/1992,0.70
1992,May,May/1992,0.70
1992,June,Jun/1992,0.70
1992,July,Jul/1992,0.70
1992,August,Aug/1992,0.70
1992,September,Sep/1992,0.70
1992,October,Oct/1992,0.70
1992,November,Nov/1992,0.70
1992,December,Dec/1992,0.70
